genome,specialisation,nitrogen_specialisation,sulfur_specialisation
20120700_P3D_61,fermenter,NA,NA
20120700_P3D_64,macromolecule_degrader,NA,sulfate_reducer
20120700_P3D_65,homoacetogen,nitrogen_fixer,sulfate_reducer
20120700_P3D_66,generalist,NA,sulfur_oxidiser
20120700_P3D_67,fermenter,NA,sulfur_oxidiser
20120700_P3D_68,generalist,NA,sulfur_oxidiser
20120700_P3D_7,generalist,nitrogen_fixer,NA
20120700_P3D_71,generalist,NA,NA
20120700_P3D_72,fermenter,NA,NA
20120700_P3D_73,generalist,NA,sulfur_oxidiser
20120700_P3D_74,generalist,NA,sulfur_oxidiser
20120700_P3D_75,generalist,NA,sulfur_oxidiser
20120700_P3D_78,macromolecule_degrader,nitrogen_fixer,sulfur_oxidiser
20120700_P3D_79,fermenter,NA,sulfur_oxidiser
20120700_P3D_8,macromolecule_degrader,NA,NA
20120700_P3D_81,generalist,NA,NA
